"id","Protein","Pathway","Metabolism"
"K12525","Bifunctional aspartokinase / homoserine dehydrogenase 2","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K12526","Bifunctional diaminopimelate decarboxylase / aspartate kinase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K12551","Monofunctional glycosyltransferase","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K12552","Penicillin-binding protein 1","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K12553","Penicillin-binding protein 3","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K12554","Alanine adding enzyme","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K12555","Penicillin-binding protein 2A","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K12556","Penicillin-binding protein 2X","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K12570","Streptomycin 6-kinase","Streptomycin biosynthesis","Biosynthesis of other secondary metabolites"
"K12658","4-hydroxyproline epimerase","Arginine and proline metabolism","Amino acid metabolism"
"K12659","N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase","Arginine biosynthesis","Amino acid metabolism"
"K12660","2-dehydro-3-deoxy-L-rhamnonate aldolase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K12661","L-rhamnonate dehydratase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K12673","N2-(2-carboxyethyl)arginine synthase","Clavulanic acid biosynthesis","Biosynthesis of other secondary metabolites"
"K12674","(carboxyethyl)arginine beta-lactam-synthase","Clavulanic acid biosynthesis","Biosynthesis of other secondary metabolites"
"K12675","Clavaminate synthase","Clavulanic acid biosynthesis","Biosynthesis of other secondary metabolites"
"K12676","Proclavaminate amidinohydrolase","Clavulanic acid biosynthesis","Biosynthesis of other secondary metabolites"
"K12677","Clavulanate-9-aldehyde reducatase","Clavulanic acid biosynthesis","Biosynthesis of other secondary metabolites"
"K12701","Novobiocin biosynthesis protein NovH","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12702","Novobiocin biosynthesis protein NovI","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12703","Novobiocin biosynthesis protein NovJ","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12704","Novobiocin biosynthesis protein NovK","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12709","8-demethylnovobiocic acid synthase","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12710","C-methyltransferase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K12711","L-demethylnoviosyl transferase","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12712","Demethyldecarbamoylnovobiocin O-methyltransferase","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12713","Decarbamoylnovobiocin carbamoyltransferase","Novobiocin biosynthesis","Biosynthesis of other secondary metabolites"
"K12743","N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase","Penicillin and cephalosporin biosynthesis","Biosynthesis of other secondary metabolites"
"K12744","Deacetoxycephalosporin-C synthase","Penicillin and cephalosporin biosynthesis","Biosynthesis of other secondary metabolites"
"K12745","Deacetoxycephalosporin-C hydroxylase","Penicillin and cephalosporin biosynthesis","Biosynthesis of other secondary metabolites"
"K12960","5-methylthioadenosine/S-adenosylhomocysteine deaminase","Cysteine and methionine metabolism","Amino acid metabolism"
"K12972","Glyoxylate/hydroxypyruvate reductase","Pyruvate metabolism","Carbohydrate metabolism"
"K12977","Lipid A 1-phosphatase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K13010","Perosamine synthetase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13014","Undecaprenyl phosphate-alpha-L-ara4FN deformylase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13015","UDP-N-acetyl-D-glucosamine dehydrogenase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13016","UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13017","UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13018","UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13019","UDP-GlcNAc3NAcA epimerase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13020","UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K13037","L-alanine-L-anticapsin ligase","Biosynthesis of various secondary metabolites - part 2","Biosynthesis of other secondary metabolites"
"K13038","Phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase","Pantothenate and CoA biosynthesis","Metabolism of cofactors and vitamins"
"K13039","Sulfopyruvate decarboxylase subunit beta","Methane metabolism","Energy metabolism"
"K13042","Dimethylglycine N-methyltransferase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K13051","L-asparaginase / beta-aspartyl-peptidase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K13057","Trehalose synthase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K13060","Acyl homoserine lactone synthase","Cysteine and methionine metabolism","Amino acid metabolism"
"K13061","Acyl homoserine lactone synthase","Cysteine and methionine metabolism","Amino acid metabolism"
"K13062","Acyl homoserine lactone synthase","Cysteine and methionine metabolism","Amino acid metabolism"
"K13063","2-amino-4-deoxychorismate synthase","Phenazine biosynthesis","Biosynthesis of other secondary metabolites"
"K13065","Shikimate O-hydroxycinnamoyltransferase","Phenylpropanoid biosynthesis","Biosynthesis of other secondary metabolites"
"K13273","Phosphomevalonate kinase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K13290","Serine---pyruvate transaminase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K13307","DTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13308","DTDP-4-amino-4,6-dideoxy-D-glucose transaminase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13309","DTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13310","DTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13311","DTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13312","DTDP-4-dehydro-6-deoxy-D-glucose 3-epimerase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13313","DTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13315","NDP-hexose C3-ketoreductase / dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene 2,3-reductase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13316","NDP-hexose 5-epimerase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13317","NDP-4-keto-2,6-dideoxyhexose 3-C-methyltransferase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13318","DTDP-4-keto-6-deoxy-L-hexose 4-reductase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13322","DTDP-4-keto-6-deoxyhexose 4-ketoreductase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13326","DTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13327","DTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13328","DTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
"K13329","DTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase","Polyketide sugar unit biosynthesis","Metabolism of terpenoids and polyketides"
