"id","Protein","Pathway","Metabolism"
"K00001","Alcohol dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00002","Alcohol dehydrogenase (NADP+)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00003","Homoserine dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00005","Glycerol dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K00007","D-arabinitol 4-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00008","L-iditol 2-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00009","Mannitol-1-phosphate 5-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00010","Myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase","Inositol phosphate metabolism","Carbohydrate metabolism"
"K00011","Aldehyde reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00012","UDPglucose 6-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00013","Histidinol dehydrogenase","Histidine metabolism","Amino acid metabolism"
"K00014","Shikimate dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K00015","Glyoxylate reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00016","L-lactate dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00018","Glycerate dehydrogenase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00019","3-hydroxybutyrate dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00020","3-hydroxyisobutyrate dehydrogenase","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00021","Hydroxymethylglutaryl-CoA reductase (NADPH)","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K00023","Acetoacetyl-CoA reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00024","Malate dehydrogenase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00029","Malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)","Pyruvate metabolism","Carbohydrate metabolism"
"K00030","Isocitrate dehydrogenase (NAD+)","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00031","Isocitrate dehydrogenase","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00032","Phosphogluconate 2-dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00033","6-phosphogluconate dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00034","Glucose 1-dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00035","D-galactose 1-dehydrogenase","Galactose metabolism","Carbohydrate metabolism"
"K00036","Glucose-6-phosphate 1-dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00038","3alpha(or 20beta)-hydroxysteroid dehydrogenase","Steroid hormone biosynthesis","Lipid metabolism"
"K00039","Ribitol 2-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00040","Fructuronate reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00041","Tagaturonate reductase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00042","2-hydroxy-3-oxopropionate reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00043","4-hydroxybutyrate dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00045","Mannitol 2-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00048","Lactaldehyde reductase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00049","Glyoxylate/hydroxypyruvate reductase","Pyruvate metabolism","Carbohydrate metabolism"
"K00052","3-isopropylmalate dehydrogenase","C5-Branched dibasic acid metabolism","Carbohydrate metabolism"
"K00053","Ketol-acid reductoisomerase","Valine, leucine and isoleucine biosynthesis","Amino acid metabolism"
"K00055","Aryl-alcohol dehydrogenase","Tyrosine metabolism","Amino acid metabolism"
"K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase","Methane metabolism","Energy metabolism"
"K00059","3-oxoacyl-[acyl-carrier protein] reductase","Fatty acid biosynthesis","Lipid metabolism"
"K00060","Threonine 3-dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00064","D-threo-aldose 1-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00065","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00066","GDP-mannose 6-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00067","DTDP-4-dehydrorhamnose reductase","O-Antigen nucleotide sugar biosynthesis","Glycan biosynthesis and metabolism"
"K00068","Sorbitol-6-phosphate 2-dehydrogenase","Fructose and mannose metabolism","Carbohydrate metabolism"
"K00074","3-hydroxybutyryl-CoA dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00075","UDP-N-acetylmuramate dehydrogenase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K00077","2-dehydropantoate 2-reductase","Pantothenate and CoA biosynthesis","Metabolism of cofactors and vitamins"
"K00082","5-amino-6-(5-phosphoribosylamino)uracil reductase","Riboflavin metabolism","Metabolism of cofactors and vitamins"
"K00084","Carbonyl reductase 3","Arachidonic acid metabolism","Lipid metabolism"
"K00086","1,3-propanediol dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K00087","Xanthine dehydrogenase molybdenum-binding subunit","Purine metabolism","Nucleotide metabolism"
"K00090","Glyoxylate/hydroxypyruvate/2-ketogluconate reductase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00093","Methanol dehydrogenase","Methane metabolism","Energy metabolism"
"K00094","Galactitol-1-phosphate 5-dehydrogenase","Galactose metabolism","Carbohydrate metabolism"
"K00097","4-hydroxythreonine-4-phosphate dehydrogenase","Vitamin B6 metabolism","Metabolism of cofactors and vitamins"
"K00099","1-deoxy-D-xylulose-5-phosphate reductoisomerase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K00100","Butanol dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00101","L-lactate dehydrogenase (cytochrome)","Pyruvate metabolism","Carbohydrate metabolism"
"K00102","D-lactate dehydrogenase (cytochrome)","Pyruvate metabolism","Carbohydrate metabolism"
"K00103","L-gulonolactone oxidase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K00104","Glycolate oxidase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00106","Xanthine dehydrogenase/oxidase","Purine metabolism","Nucleotide metabolism"
"K00108","Choline dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00109","2-hydroxyglutarate dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00114","Alcohol dehydrogenase (cytochrome c)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00116","Malate dehydrogenase (quinone)","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00117","Quinoprotein glucose dehydrogenase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00121","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00122","Formate dehydrogenase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00123","Formate dehydrogenase major subunit","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00124","Formate dehydrogenase iron-sulfur subunit","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00125","Formate dehydrogenase (coenzyme F420) beta subunit","Methane metabolism","Energy metabolism"
"K00126","Formate dehydrogenase subunit delta","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00127","Formate dehydrogenase subunit gamma","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00128","Aldehyde dehydrogenase (NAD+)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00129","Aldehyde dehydrogenase (NAD(P)+)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00130","Betaine-aldehyde dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00131","Glyceraldehyde-3-phosphate dehydrogenase (NADP+)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00132","Acetaldehyde dehydrogenase (acetylating)","Pyruvate metabolism","Carbohydrate metabolism"
"K00133","Aspartate-semialdehyde dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00134","Glyceraldehyde 3-phosphate dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00135","Succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase","Butanoate metabolism","Carbohydrate metabolism"
"K00137","Aminobutyraldehyde dehydrogenase","Lysine degradation","Amino acid metabolism"
"K00138","Aldehyde dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00140","Malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K00141","Benzaldehyde dehydrogenase (NAD)","Aminobenzoate degradation","Xenobiotics biodegradation and metabolism"
"K00143","L-2-aminoadipate reductase","Lysine biosynthesis","Amino acid metabolism"
"K00145","N-acetyl-gamma-glutamyl-phosphate reductase","Arginine biosynthesis","Amino acid metabolism"
"K00146","Phenylacetaldehyde dehydrogenase","Phenylalanine metabolism","Amino acid metabolism"
"K00147","Glutamate-5-semialdehyde dehydrogenase","Arginine and proline metabolism","Amino acid metabolism"
"K00148","Glutathione-independent formaldehyde dehydrogenase","Methane metabolism","Energy metabolism"
"K00150","Glyceraldehyde-3-phosphate dehydrogenase (NAD(P))","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00151","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase","Tyrosine metabolism","Amino acid metabolism"
"K00152","Salicylaldehyde dehydrogenase","Naphthalene degradation","Xenobiotics biodegradation and metabolism"
"K00156","Pyruvate dehydrogenase (quinone)","Pyruvate metabolism","Carbohydrate metabolism"
"K00158","Pyruvate oxidase","Pyruvate metabolism","Carbohydrate metabolism"
"K00161","Pyruvate dehydrogenase E1 component alpha subunit","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00162","Pyruvate dehydrogenase E1 component beta subunit","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00163","Pyruvate dehydrogenase E1 component","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00164","2-oxoglutarate dehydrogenase E1 component","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00166","2-oxoisovalerate dehydrogenase E1 component alpha subunit","Propanoate metabolism","Carbohydrate metabolism"
"K00167","2-oxoisovalerate dehydrogenase E1 component beta subunit","Propanoate metabolism","Carbohydrate metabolism"
"K00169","Pyruvate ferredoxin oxidoreductase alpha subunit","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00170","Pyruvate ferredoxin oxidoreductase beta subunit","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00171","Pyruvate ferredoxin oxidoreductase delta subunit","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00172","Pyruvate ferredoxin oxidoreductase gamma subunit","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00174","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00175","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00176","2-oxoglutarate ferredoxin oxidoreductase subunit delta","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00177","2-oxoglutarate ferredoxin oxidoreductase subunit gamma","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00186","2-oxoisovalerate ferredoxin oxidoreductase alpha subunit","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00187","2-oxoisovalerate ferredoxin oxidoreductase beta subunit","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00188","2-oxoisovalerate ferredoxin oxidoreductase delta subunit","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00189","2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00192","Anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha","Methane metabolism","Energy metabolism"
"K00193","Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta","Methane metabolism","Energy metabolism"
"K00194","Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K00195","Anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon","Methane metabolism","Energy metabolism"
"K00196","Anaerobic carbon-monoxide dehydrogenase iron sulfur subunit","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K00197","Acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K00198","Anaerobic carbon-monoxide dehydrogenase catalytic subunit","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K00200","Formylmethanofuran dehydrogenase subunit A","Methane metabolism","Energy metabolism"
"K00201","Formylmethanofuran dehydrogenase subunit B","Methane metabolism","Energy metabolism"
"K00202","Formylmethanofuran dehydrogenase subunit C","Methane metabolism","Energy metabolism"
"K00203","Formylmethanofuran dehydrogenase subunit D","Methane metabolism","Energy metabolism"
"K00204","4Fe-4S ferredoxin","Methane metabolism","Energy metabolism"
"K00205","4Fe-4S ferredoxin","Methane metabolism","Energy metabolism"
"K00206","Phosphonoacetaldehyde dehydrogenase","Phosphonate and phosphinate metabolism","Metabolism of other amino acids"
"K00207","Dihydropyrimidine dehydrogenase (NADP+)","Pyrimidine metabolism","Nucleotide metabolism"
"K00208","Enoyl-[acyl-carrier protein] reductase I","Fatty acid biosynthesis","Lipid metabolism"
"K00209","Enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)","Butanoate metabolism","Carbohydrate metabolism"
"K00210","NA","NA","NA"
"K00211","Prephenate dehydrogenase (NADP+)","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K00213","7-dehydrocholesterol reductase","Steroid biosynthesis","Lipid metabolism"
"K00214","Biliverdin reductase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00215","4-hydroxy-tetrahydrodipicolinate reductase","Lysine biosynthesis","Amino acid metabolism"
"K00217","Maleylacetate reductase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K00218","Protochlorophyllide reductase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00220","Cyclohexadieny/prephenate dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K00222","Delta14-sterol reductase","Steroid biosynthesis","Lipid metabolism"
"K00223","Delta24(24(1))-sterol reductase","Steroid biosynthesis","Lipid metabolism"
"K00226","Dihydroorotate dehydrogenase (fumarate)","Pyrimidine metabolism","Nucleotide metabolism"
"K00227","Delta7-sterol 5-desaturase","Steroid biosynthesis","Lipid metabolism"
"K00228","Coproporphyrinogen III oxidase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00230","Menaquinone-dependent protoporphyrinogen oxidase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00231","Protoporphyrinogen/coproporphyrinogen III oxidase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00232","Acyl-CoA oxidase","Propanoate metabolism","Carbohydrate metabolism"
"K00239","Succinate dehydrogenase / fumarate reductase, flavoprotein subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00240","Succinate dehydrogenase / fumarate reductase, iron-sulfur subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00241","Succinate dehydrogenase / fumarate reductase, cytochrome b subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00242","Succinate dehydrogenase / fumarate reductase, membrane anchor subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00244","Fumarate reductase flavoprotein subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00245","Fumarate reductase iron-sulfur subunit","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00246","Fumarate reductase subunit C","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00247","Fumarate reductase subunit D","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00248","Butyryl-CoA dehydrogenase","Propanoate metabolism","Carbohydrate metabolism"
"K00249","Acyl-CoA dehydrogenase","Fatty acid degradation","Lipid metabolism"
"K00252","Glutaryl-CoA dehydrogenase","Fatty acid degradation","Lipid metabolism"
"K00253","Isovaleryl-CoA dehydrogenase","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00254","Dihydroorotate dehydrogenase","Pyrimidine metabolism","Nucleotide metabolism"
"K00255","Long-chain-acyl-CoA dehydrogenase","Fatty acid degradation","Lipid metabolism"
"K00259","Alanine dehydrogenase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K00260","Glutamate dehydrogenase","Nitrogen metabolism","Energy metabolism"
"K00261","Glutamate dehydrogenase (NAD(P)+)","Nitrogen metabolism","Energy metabolism"
"K00262","Glutamate dehydrogenase (NADP+)","Nitrogen metabolism","Energy metabolism"
"K00263","Leucine dehydrogenase","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00265","Glutamate synthase (NADPH) large chain","Nitrogen metabolism","Energy metabolism"
"K00266","Glutamate synthase (NADPH) small chain","Nitrogen metabolism","Energy metabolism"
"K00270","Phenylalanine dehydrogenase","Tyrosine metabolism","Amino acid metabolism"
"K00271","Valine dehydrogenase (NAD+)","Valine, leucine and isoleucine degradation","Amino acid metabolism"
"K00273","D-amino-acid oxidase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00274","Monoamine oxidase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00275","Pyridoxamine 5'-phosphate oxidase","Vitamin B6 metabolism","Metabolism of cofactors and vitamins"
"K00276","Primary-amine oxidase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00278","L-aspartate oxidase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K00281","Glycine dehydrogenase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00282","Glycine dehydrogenase subunit 1","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00283","Glycine dehydrogenase subunit 2","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00285","D-amino-acid dehydrogenase","Phenylalanine metabolism","Amino acid metabolism"
"K00286","Pyrroline-5-carboxylate reductase","Arginine and proline metabolism","Amino acid metabolism"
"K00287","Dihydrofolate reductase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K00288","Methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase","One carbon pool by folate","Metabolism of cofactors and vitamins"
"K00290","Saccharopine dehydrogenase (NAD+, L-lysine forming)","Lysine biosynthesis","Amino acid metabolism"
"K00293","Saccharopine dehydrogenase (NADP+, L-glutamate forming)","Lysine biosynthesis","Amino acid metabolism"
"K00294","1-pyrroline-5-carboxylate dehydrogenase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K00295","Methylenetetrahydrofolate dehydrogenase (NAD+)","One carbon pool by folate","Metabolism of cofactors and vitamins"
"K00297","Methylenetetrahydrofolate reductase (NADH)","Carbon fixation pathways in prokaryotes","Energy metabolism"
"K00299","FMN reductase","Sulfur metabolism","Energy metabolism"
"K00300","Methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+)","Methane metabolism","Energy metabolism"
"K00301","Sarcosine oxidase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00302","Sarcosine oxidase, subunit alpha","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00303","Sarcosine oxidase, subunit beta","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00304","Sarcosine oxidase, subunit delta","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00305","Sarcosine oxidase, subunit gamma","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00314","Sarcosine dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00315","Dimethylglycine dehydrogenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00316","Spermidine dehydrogenase","Arginine and proline metabolism","Amino acid metabolism"
"K00317","Dimethylamine/trimethylamine dehydrogenase","Methane metabolism","Energy metabolism"
"K00318","Proline dehydrogenase","Arginine and proline metabolism","Amino acid metabolism"
"K00319","Methylenetetrahydromethanopterin dehydrogenase","Methane metabolism","Energy metabolism"
"K00320","5,10-methylenetetrahydromethanopterin reductase","Methane metabolism","Energy metabolism"
"K00322","NAD(P) transhydrogenase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K00324","H+-translocating NAD(P) transhydrogenase subunit alpha","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K00325","H+-translocating NAD(P) transhydrogenase subunit beta","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K00330","NADH-quinone oxidoreductase subunit A","Oxidative phosphorylation","Energy metabolism"
"K00331","NADH-quinone oxidoreductase subunit B","Oxidative phosphorylation","Energy metabolism"
"K00332","NADH-quinone oxidoreductase subunit C","Oxidative phosphorylation","Energy metabolism"
"K00333","NADH-quinone oxidoreductase subunit D","Oxidative phosphorylation","Energy metabolism"
"K00334","NADH-quinone oxidoreductase subunit E","Oxidative phosphorylation","Energy metabolism"
"K00335","NADH-quinone oxidoreductase subunit F","Oxidative phosphorylation","Energy metabolism"
"K00336","NADH-quinone oxidoreductase subunit G","Oxidative phosphorylation","Energy metabolism"
"K00337","NADH-quinone oxidoreductase subunit H","Oxidative phosphorylation","Energy metabolism"
"K00338","NADH-quinone oxidoreductase subunit I","Oxidative phosphorylation","Energy metabolism"
"K00339","NADH-quinone oxidoreductase subunit J","Oxidative phosphorylation","Energy metabolism"
"K00340","NADH-quinone oxidoreductase subunit K","Oxidative phosphorylation","Energy metabolism"
"K00341","NADH-quinone oxidoreductase subunit L","Oxidative phosphorylation","Energy metabolism"
"K00342","NADH-quinone oxidoreductase subunit M","Oxidative phosphorylation","Energy metabolism"
"K00343","NADH-quinone oxidoreductase subunit N","Oxidative phosphorylation","Energy metabolism"
"K00355","NAD(P)H dehydrogenase (quinone)","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K00360","Assimilatory nitrate reductase electron transfer subunit","Nitrogen metabolism","Energy metabolism"
"K00362","Nitrite reductase (NADH) large subunit","Nitrogen metabolism","Energy metabolism"
"K00363","Nitrite reductase (NADH) small subunit","Nitrogen metabolism","Energy metabolism"
"K00365","Urate oxidase","Purine metabolism","Nucleotide metabolism"
"K00366","Ferredoxin-nitrite reductase","Nitrogen metabolism","Energy metabolism"
"K00367","Ferredoxin-nitrate reductase","Nitrogen metabolism","Energy metabolism"
"K00368","Nitrite reductase (NO-forming)","Nitrogen metabolism","Energy metabolism"
"K00370","Nitrate reductase / nitrite oxidoreductase, alpha subunit","Nitrogen metabolism","Energy metabolism"
"K00371","Nitrate reductase / nitrite oxidoreductase, beta subunit","Nitrogen metabolism","Energy metabolism"
"K00372","Assimilatory nitrate reductase catalytic subunit","Nitrogen metabolism","Energy metabolism"
"K00374","Nitrate reductase gamma subunit","Nitrogen metabolism","Energy metabolism"
"K00376","Nitrous-oxide reductase","Nitrogen metabolism","Energy metabolism"
"K00380","Sulfite reductase (NADPH) flavoprotein alpha-component","Sulfur metabolism","Energy metabolism"
"K00381","Sulfite reductase (NADPH) hemoprotein beta-component","Sulfur metabolism","Energy metabolism"
"K00382","Dihydrolipoamide dehydrogenase","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00383","Glutathione reductase (NADPH)","Glutathione metabolism","Metabolism of other amino acids"
"K00385","Anaerobic sulfite reductase subunit C","Sulfur metabolism","Energy metabolism"
"K00387","Sulfite oxidase","Sulfur metabolism","Energy metabolism"
"K00390","Phosphoadenosine phosphosulfate reductase","Sulfur metabolism","Energy metabolism"
"K00392","Sulfite reductase (ferredoxin)","Sulfur metabolism","Energy metabolism"
"K00394","Adenylylsulfate reductase, subunit A","Sulfur metabolism","Energy metabolism"
"K00395","Adenylylsulfate reductase, subunit B","Sulfur metabolism","Energy metabolism"
"K00399","Methyl-coenzyme M reductase alpha subunit","Methane metabolism","Energy metabolism"
"K00400","Methyl coenzyme M reductase system, component A2","Methane metabolism","Energy metabolism"
"K00401","Methyl-coenzyme M reductase beta subunit","Methane metabolism","Energy metabolism"
"K00402","Methyl-coenzyme M reductase gamma subunit","Methane metabolism","Energy metabolism"
"K00404","Cytochrome c oxidase cbb3-type subunit I","Oxidative phosphorylation","Energy metabolism"
"K00405","Cytochrome c oxidase cbb3-type subunit II","Oxidative phosphorylation","Energy metabolism"
"K00406","Cytochrome c oxidase cbb3-type subunit III","Oxidative phosphorylation","Energy metabolism"
"K00407","Cytochrome c oxidase cbb3-type subunit IV","Oxidative phosphorylation","Energy metabolism"
"K00410","Ubiquinol-cytochrome c reductase cytochrome b/c1 subunit","Oxidative phosphorylation","Energy metabolism"
"K00411","Ubiquinol-cytochrome c reductase iron-sulfur subunit","Oxidative phosphorylation","Energy metabolism"
"K00412","Ubiquinol-cytochrome c reductase cytochrome b subunit","Oxidative phosphorylation","Energy metabolism"
"K00413","Ubiquinol-cytochrome c reductase cytochrome c1 subunit","Oxidative phosphorylation","Energy metabolism"
"K00422","Polyphenol oxidase","Tyrosine metabolism","Amino acid metabolism"
"K00423","L-ascorbate oxidase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K00432","Glutathione peroxidase","Arachidonic acid metabolism","Lipid metabolism"
"K00435","Hydrogen peroxide-dependent heme synthase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00440","Coenzyme F420 hydrogenase subunit alpha","Methane metabolism","Energy metabolism"
"K00441","Coenzyme F420 hydrogenase subunit beta","Methane metabolism","Energy metabolism"
"K00442","Coenzyme F420 hydrogenase subunit delta","Methane metabolism","Energy metabolism"
"K00443","Coenzyme F420 hydrogenase subunit gamma","Methane metabolism","Energy metabolism"
"K00446","Catechol 2,3-dioxygenase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K00448","Protocatechuate 3,4-dioxygenase, alpha subunit","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K00449","Protocatechuate 3,4-dioxygenase, beta subunit","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K00450","Gentisate 1,2-dioxygenase","Tyrosine metabolism","Amino acid metabolism"
"K00451","Homogentisate 1,2-dioxygenase","Tyrosine metabolism","Amino acid metabolism"
"K00452","3-hydroxyanthranilate 3,4-dioxygenase","Tryptophan metabolism","Amino acid metabolism"
"K00453","Tryptophan 2,3-dioxygenase","Tryptophan metabolism","Amino acid metabolism"
"K00455","3,4-dihydroxyphenylacetate 2,3-dioxygenase","Tyrosine metabolism","Amino acid metabolism"
"K00456","Cysteine dioxygenase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00457","4-hydroxyphenylpyruvate dioxygenase","Tyrosine metabolism","Amino acid metabolism"
"K00459","Nitronate monooxygenase","Nitrogen metabolism","Energy metabolism"
"K00461","Arachidonate 5-lipoxygenase","Arachidonic acid metabolism","Lipid metabolism"
